#Single-shot						
#Target (~s)	Measured (~s)	Error (%)	Measured (~s)	Error (%)	Measured (~s)	Error (%)
#		Clock = 7200 Hz			Clock = 28800 Hz		Clock = 115200 Hz	
        100           268   168.00000%           164   64.00000%           136   36.00000%
       1000          1240    24.00000%          1031    3.10000%          1031    3.10000%
      10000         10128     1.28000%         10059    0.59000%         10033    0.33000%
     100000        100128     0.12800%        100059    0.05900%        100036    0.03600%
    1000000       1000128     0.01280%       1000094    0.00940%       1152970   15.29700%
   10000000      10138457     1.38457%      10282728    2.82728%      10921704    9.21704%
