4	8.22	0.475
8	8.36	0.934
16	8.45	1.850
32	8.48	3.686
64	8.44	7.405
128	9.11	13.723
256	10.41	24.009
512	14.28	35.012
1024	22.69	44.075
2048	39.61	50.496
4096	73.32	54.557
8192	112.26	71.264
16384	223.16	71.696
32768	418.69	76.430
65536	809.19	79.092
