# ForemanQCIF   # ForemanCIF	# Mobile	# City		# Stockholm     # Sunflower     # Crowd_Run     # Mean
0.00		    0.00		    0.00		0.00        0.00            0.00            0.00            0.00           
0.01		    0.03            0.03		0.04		0.07            0.14            0.06            0.05
0.06		    0.09            0.04		0.07		0.1             0.17            0.10            0.09
0.24		    0.21            0.01		0.1		    0.18            0.16            0.15            0.15
0.64		    0.58            0.02		0.16		0.24            0.38            0.27            0.33
1.41		    1.34            0.16		0.38		0.28            0.99            0.66            0.75
2.86		    3.19            0.59		2.09		0.46            2.30            1.49            1.85
10.89           4.72            2.55		7.25		4.34            5.36            3.40            5.50
